shipment_id,sender,receiver,message_type,message_content,is_fraudulent,fraud_probability,created_at
SHP-1000,+15558187926,+15557700828,SMS,"Highway construction near check point. Delay of 30 mins, but route remains secure.",0,0.05,2026-04-11 22:22:51
SHP-1000,info@cascadelogistics.com,ops@controlcenter.com,Email,Attached are the truck inspection logs and driver credentials for carrier verification.,0,0.12,2026-04-11 22:22:51
SHP-1000,info@cascadelogistics.com,ops@controlcenter.com,Email,"Hi Team, please find attached the BOL for shipment SHP-1000. Let us know if you need anything else.",0,0.04,2026-04-11 22:22:51
SHP-1001,+15556707197,+15552871534,SMS,"Highway construction near check point. Delay of 30 mins, but route remains secure.",0,0.11,2026-04-26 07:22:51
SHP-1001,+15551054447,+15555418934,SMS,Arrived at receiver. Waiting for dock assignment. Everything secure.,0,0.13,2026-04-26 07:22:51
SHP-1001,info@frontierhauling.com,ops@controlcenter.com,Email,"Hello, gate check-in has been completed for shipment SHP-1001 in Atlanta, GA. Estimated arrival in New York, NY remains unchanged.",0,0.21,2026-04-26 07:22:51
SHP-1002,info@quantumlogistics.com,ops@controlcenter.com,Email,"Hello, gate check-in has been completed for shipment SHP-1002 in Houston, TX. Estimated arrival in Boston, MA remains unchanged.",0,0.22,2026-03-25 09:22:51
SHP-1003,info@jupitershipping.com,ops@controlcenter.com,Email,"Hello, gate check-in has been completed for shipment SHP-1003 in Seattle, WA. Estimated arrival in New York, NY remains unchanged.",0,0.13,2026-05-31 18:22:51
SHP-1003,+15554553384,+15554374754,SMS,"Highway construction near check point. Delay of 30 mins, but route remains secure.",0,0.1,2026-05-31 18:22:51
SHP-1003,+15558350099,+15559683481,SMS,Refueling. Trailer locks checked and secure.,0,0.03,2026-05-31 18:22:51
SHP-1004,+15552188789,+15559626108,SMS,Arrived at receiver. Waiting for dock assignment. Everything secure.,0,0.07,2026-06-12 15:22:51
SHP-1005,+15552651177,+15552016911,SMS,"Rerouting SHP SHP-1005. Deliver load to Miami, FL West Compound instead of Main Terminal.",1,0.91,2026-04-06 11:22:51
SHP-1005,dispatch@apexcorp-logistics.net,ops@controlcenter.com,Email,"Dear customer, system outage has affected our primary logistics email. Do not reply to standard office number. Confirm container drop details via this email.",1,0.74,2026-04-06 11:22:51
SHP-1006,+15551983738,+15553762152,SMS,"Rerouting SHP SHP-1006. Deliver load to New York, NY West Compound instead of Main Terminal.",1,0.7,2026-03-25 16:22:51
SHP-1006,+15555785687,+15558096887,SMS,"Rerouting SHP SHP-1006. Deliver load to New York, NY West Compound instead of Main Terminal.",1,0.74,2026-03-25 16:22:51
SHP-1007,info@jupitershipping.com,ops@controlcenter.com,Email,"Good morning, here is the tracking status report for cargo. The driver is currently in transit and ETA is looking good.",0,0.02,2026-05-25 06:22:51
SHP-1007,info@jupitershipping.com,ops@controlcenter.com,Email,"Good morning, here is the tracking status report for cargo. The driver is currently in transit and ETA is looking good.",0,0.1,2026-05-25 06:22:51
SHP-1007,info@jupitershipping.com,ops@controlcenter.com,Email,Attached are the truck inspection logs and driver credentials for carrier verification.,0,0.15,2026-05-25 06:22:51
SHP-1008,dispatch@fedex-billing-system.com,ops@controlcenter.com,Email,"URGENT UPDATE: Shipment SHP-1008 has been rerouted due to warehouse maintenance. Deliver to alternative dock: 404 Industrial Way, Boston, MA immediately.",1,0.72,2026-06-14 23:22:51
SHP-1009,+15552737893,+15553253031,SMS,"Highway construction near check point. Delay of 30 mins, but route remains secure.",0,0.03,2026-06-02 12:22:51
SHP-1010,info@deltafreight.com,ops@controlcenter.com,Email,Confirming receipt of the shipment request. We will assign a driver soon. Best regards.,0,0.21,2026-06-13 22:22:51
SHP-1011,info@blueskytransport.com,ops@controlcenter.com,Email,Attached are the truck inspection logs and driver credentials for carrier verification.,0,0.14,2026-03-25 17:22:51
SHP-1011,+15557117837,+15551669324,SMS,Security notice: Logistics portal compromised. Contact broker ONLY at +1 (555) 019-3829. Do not use main desk line.,1,0.76,2026-03-25 17:22:51
SHP-1011,dispatch@verizon-dispatcher.org,ops@controlcenter.com,Email,"Dear customer, system outage has affected our primary logistics email. Do not reply to standard office number. Confirm container drop details via this email.",1,0.98,2026-03-25 17:22:51
SHP-1012,info@xpresslogistics.com,ops@controlcenter.com,Email,Confirming receipt of the shipment request. We will assign a driver soon. Best regards.,0,0.22,2026-05-06 03:22:51
SHP-1013,+15559996207,+15556555772,SMS,Driver: Reroute load SHP-1013 now. Destination changed. Go to loading dock 4 behind retail complex.,1,0.73,2026-05-15 00:22:51
SHP-1013,+15551641849,+15552818692,SMS,"Rerouting SHP SHP-1013. Deliver load to Boston, MA West Compound instead of Main Terminal.",1,0.8,2026-05-15 00:22:51
SHP-1014,info@kryptonlogistics.com,ops@controlcenter.com,Email,"Hello, gate check-in has been completed for shipment SHP-1014 in San Francisco, CA. Estimated arrival in New York, NY remains unchanged.",0,0.16,2026-05-18 14:22:51
SHP-1014,info@kryptonlogistics.com,ops@controlcenter.com,Email,"Hello, gate check-in has been completed for shipment SHP-1014 in San Francisco, CA. Estimated arrival in New York, NY remains unchanged.",0,0.13,2026-05-18 14:22:51
SHP-1015,info@vanguardlogistics.com,ops@controlcenter.com,Email,"Hello, gate check-in has been completed for shipment SHP-1015 in Atlanta, GA. Estimated arrival in Detroit, MI remains unchanged.",0,0.07,2026-05-12 11:22:51
SHP-1015,+15556406444,+15558801207,SMS,Refueling. Trailer locks checked and secure.,0,0.11,2026-05-12 11:22:51
