vendor_id,name,trust_score,incidents_count,sla_compliance_rate,status
VND-100,Atlas Cargo Services,62.4,3,79.8,Under_Review
VND-101,BlueSky Transport,88.3,2,91.0,Active
VND-102,Cascade Logistics,96.1,2,90.9,Active
VND-103,Delta Freight Systems,91.3,0,90.9,Active
VND-104,Apex Carrier Group,88.5,2,90.3,Active
VND-105,Frontier Hauling,47.0,8,79.0,Active
VND-106,GoldStar Logistics,88.3,2,92.8,Active
VND-107,Horizon Freight,98.0,0,97.0,Active
VND-108,Interstate Carriers,90.1,0,92.2,Active
VND-109,Jupiter Shipping,96.5,0,90.9,Active
VND-110,Krypton Logistics,43.4,9,71.9,Active
VND-111,Liberty Cargo,97.1,2,94.6,Active
VND-112,Metro Logistics,86.9,1,90.8,Active
VND-113,Northern Transport,89.4,2,96.2,Active
VND-114,Oceanic Shipping,97.9,2,91.9,Active
VND-115,Pinnacle Freight,42.4,8,69.6,Active
VND-116,Quantum Logistics,99.8,0,98.7,Active
VND-117,RedLine Transport,90.7,1,96.4,Active
VND-118,Summit Logistics,90.5,1,93.6,Active
VND-119,Titan Haulers,95.1,2,99.4,Active
VND-120,United Cargo,62.7,7,77.7,Under_Review
VND-121,Vanguard Logistics,87.5,1,92.7,Active
VND-122,WestCoast Freight,98.9,2,95.6,Active
VND-123,Xpress Logistics,95.3,0,92.3,Active
VND-124,Zephyr Shipping,85.5,1,94.0,Active
