keyword,category,risk_score
urgent payment,Banking Fraud,0.95
immediate urgent payment,Banking Fraud,1.0
customs fee payment,Courier Fraud,0.9
immediate customs fee payment,Courier Fraud,0.9500000000000001
bank verification,Banking Fraud,0.95
immediate bank verification,Banking Fraud,1.0
confirm banking details,Banking Fraud,0.95
immediate confirm banking details,Banking Fraud,1.0
release shipment after payment,Courier Fraud,0.9
immediate release shipment after payment,Courier Fraud,0.9500000000000001
payment required to release package,Courier Fraud,0.95
immediate payment required to release package,Courier Fraud,1.0
wire transfer details,Banking Fraud,0.85
immediate wire transfer details,Banking Fraud,0.9
update bank routing,Banking Fraud,0.95
immediate update bank routing,Banking Fraud,1.0
shipment,Logistics Fraud,0.1
package,Logistics Fraud,0.1
parcel,Courier Fraud,0.1
delivery,Logistics Fraud,0.1
tracking,Logistics Fraud,0.1
courier,Courier Fraud,0.1
dispatch,Logistics Fraud,0.1
logistics,Logistics Fraud,0.1
hub,Logistics Fraud,0.1
warehouse,Logistics Fraud,0.1
reroute delivery gate code 3000,Logistics Fraud,0.8
reroute delivery gate code 3001,Logistics Fraud,0.8
reroute delivery gate code 3002,Logistics Fraud,0.8
reroute delivery gate code 3003,Logistics Fraud,0.8
reroute delivery gate code 3004,Logistics Fraud,0.8
reroute delivery gate code 3005,Logistics Fraud,0.8
reroute delivery gate code 3006,Logistics Fraud,0.8
reroute delivery gate code 3007,Logistics Fraud,0.8
reroute delivery gate code 3008,Logistics Fraud,0.8
reroute delivery gate code 3009,Logistics Fraud,0.8
reroute delivery gate code 3010,Logistics Fraud,0.8
reroute delivery gate code 3011,Logistics Fraud,0.8
reroute delivery gate code 3012,Logistics Fraud,0.8
reroute delivery gate code 3013,Logistics Fraud,0.8
reroute delivery gate code 3014,Logistics Fraud,0.8
reroute delivery gate code 3015,Logistics Fraud,0.8
reroute delivery gate code 3016,Logistics Fraud,0.8
reroute delivery gate code 3017,Logistics Fraud,0.8
reroute delivery gate code 3018,Logistics Fraud,0.8
reroute delivery gate code 3019,Logistics Fraud,0.8
reroute delivery gate code 3020,Logistics Fraud,0.8
reroute delivery gate code 3021,Logistics Fraud,0.8
reroute delivery gate code 3022,Logistics Fraud,0.8
reroute delivery gate code 3023,Logistics Fraud,0.8
reroute delivery gate code 3024,Logistics Fraud,0.8
reroute delivery gate code 3025,Logistics Fraud,0.8
reroute delivery gate code 3026,Logistics Fraud,0.8
reroute delivery gate code 3027,Logistics Fraud,0.8
reroute delivery gate code 3028,Logistics Fraud,0.8
reroute delivery gate code 3029,Logistics Fraud,0.8
