label,text
ham,"Hi Jessica, how are you? Are we still meeting for lunch today?"
ham,"Hey Sarah, did you finish the spreadsheet for the inventory logs?"
spam,Important notification from bank: Your debit card ending in 1868 is temporarily blocked. Verify credentials at http://bank-card-unlock.org/verify-66907
ham,"Ok, sounds good. I will meet you at the terminal entrance at 11:15 PM."
ham,"The driver check-in is complete for SHP-60388, loading will begin in 20 minutes."
ham,"Hi Chris, how are you? Are we still meeting for lunch today?"
spam,Enter verification code OTP 1222 to authenticate payment request of Rs. 5000. Do not share code.
spam,Claim your Rs. 5000 free gift voucher card today. Click link: http://promo-reward.net/claim-90722
ham,"The driver check-in is complete for SHP-85517, loading will begin in 10 minutes."
ham,"Hi Chris, how are you? Are we still meeting for lunch today?"
ham,Please confirm if the shipment package SHP-73700 has been received at the dispatch office.
ham,Please confirm if the shipment package SHP-66414 has been received at the dispatch office.
ham,"The driver check-in is complete for SHP-82144, loading will begin in 15 minutes."
spam,"Hi, you have a package held due to unpaid courier charge. Pay Rs. 950 customs fee immediately: http://held-package.net/pay-58191"
ham,"Hi Sarah, how are you? Are we still meeting for lunch today?"
ham,Are you free this weekend Chris? Let me know.
ham,"Hi Sarah, how are you? Are we still meeting for lunch today?"
ham,"Hi Chris, how are you? Are we still meeting for lunch today?"
ham,Are you free this weekend Jessica? Let me know.
ham,"Ok, sounds good. I will meet you at the terminal entrance at 2:15 PM."
ham,"The driver check-in is complete for SHP-22463, loading will begin in 15 minutes."
ham,"Hey Emma, did you finish the spreadsheet for the inventory logs?"
ham,Please confirm if the shipment package SHP-45508 has been received at the dispatch office.
ham,"The driver check-in is complete for SHP-36608, loading will begin in 45 minutes."
spam,Enter verification code OTP 1841 to authenticate payment request of Rs. 950. Do not share code.
ham,"Hey Alex, did you finish the spreadsheet for the inventory logs?"
ham,"The driver check-in is complete for SHP-32039, loading will begin in 10 minutes."
ham,"Hey Emma, did you finish the spreadsheet for the inventory logs?"
spam,Congratulations selected winner! Your mobile number won Rs. 1500 cash sweepstakes. Claim ticket details here: http://sweepstakes-27800.net
ham,"The driver check-in is complete for SHP-12168, loading will begin in 15 minutes."
ham,"Hey Emily, did you finish the spreadsheet for the inventory logs?"
ham,"The driver check-in is complete for SHP-83881, loading will begin in 20 minutes."
ham,Are you free this weekend John? Let me know.
ham,Are you free this weekend Emma? Let me know.
ham,"The driver check-in is complete for SHP-29157, loading will begin in 10 minutes."
ham,"Hey Chris, did you finish the spreadsheet for the inventory logs?"
ham,Are you free this weekend John? Let me know.
ham,"Ok, sounds good. I will meet you at the terminal entrance at 11:15 PM."
spam,Important notification from bank: Your debit card ending in 4557 is temporarily blocked. Verify credentials at http://bank-card-unlock.org/verify-91347
ham,Are you free this weekend David? Let me know.
spam,URGENT! You have won a 1-week free membership in our prize draw! Claim your reward now at http://win-now.com/draw/87231
ham,"The driver check-in is complete for SHP-13845, loading will begin in 30 minutes."
spam,Congratulations selected winner! Your mobile number won Rs. 950 cash sweepstakes. Claim ticket details here: http://sweepstakes-80940.net
ham,"The driver check-in is complete for SHP-77953, loading will begin in 20 minutes."
ham,"Hi Emma, how are you? Are we still meeting for lunch today?"
ham,"Ok, sounds good. I will meet you at the terminal entrance at 4:15 PM."
ham,"Hi David, how are you? Are we still meeting for lunch today?"
ham,Are you free this weekend Jessica? Let me know.
ham,"Ok, sounds good. I will meet you at the terminal entrance at 6:00 AM."
ham,"Hi Alex, how are you? Are we still meeting for lunch today?"
spam,Claim your Rs. 450 free gift voucher card today. Click link: http://promo-reward.net/claim-16917
spam,Congratulations selected winner! Your mobile number won Rs. 450 cash sweepstakes. Claim ticket details here: http://sweepstakes-62403.net
ham,Are you free this weekend Alex? Let me know.
ham,Please confirm if the shipment package SHP-43667 has been received at the dispatch office.
ham,Please confirm if the shipment package SHP-79612 has been received at the dispatch office.
ham,"The driver check-in is complete for SHP-32660, loading will begin in 20 minutes."
ham,Are you free this weekend Alex? Let me know.
ham,"Hi Michael, how are you? Are we still meeting for lunch today?"
spam,Claim your Rs. 1500 free gift voucher card today. Click link: http://promo-reward.net/claim-46916
ham,"Hey Michael, did you finish the spreadsheet for the inventory logs?"
ham,"Hi David, how are you? Are we still meeting for lunch today?"
ham,"The driver check-in is complete for SHP-50947, loading will begin in 45 minutes."
spam,"Hi, you have a package held due to unpaid courier charge. Pay Rs. 450 customs fee immediately: http://held-package.net/pay-11310"
ham,Please confirm if the shipment package SHP-44733 has been received at the dispatch office.
ham,"Hi Michael, how are you? Are we still meeting for lunch today?"
ham,Are you free this weekend Sarah? Let me know.
ham,"Hey Emma, did you finish the spreadsheet for the inventory logs?"
ham,Please confirm if the shipment package SHP-61718 has been received at the dispatch office.
ham,"Hi Chris, how are you? Are we still meeting for lunch today?"
ham,Please confirm if the shipment package SHP-88330 has been received at the dispatch office.
ham,Are you free this weekend Karen? Let me know.
ham,Are you free this weekend Karen? Let me know.
spam,"Hi, you have a package held due to unpaid courier charge. Pay Rs. 450 customs fee immediately: http://held-package.net/pay-46481"
ham,Are you free this weekend David? Let me know.
ham,Please confirm if the shipment package SHP-22462 has been received at the dispatch office.
spam,"Hi, you have a package held due to unpaid courier charge. Pay Rs. 5000 customs fee immediately: http://held-package.net/pay-77330"
ham,"The driver check-in is complete for SHP-57936, loading will begin in 10 minutes."
ham,Are you free this weekend Emma? Let me know.
ham,Please confirm if the shipment package SHP-14766 has been received at the dispatch office.
ham,"The driver check-in is complete for SHP-81162, loading will begin in 10 minutes."
ham,"Hi Emma, how are you? Are we still meeting for lunch today?"
ham,Please confirm if the shipment package SHP-14897 has been received at the dispatch office.
ham,"The driver check-in is complete for SHP-97198, loading will begin in 45 minutes."
ham,Please confirm if the shipment package SHP-22686 has been received at the dispatch office.
ham,"The driver check-in is complete for SHP-45126, loading will begin in 10 minutes."
ham,Are you free this weekend Sarah? Let me know.
ham,"Hi Sarah, how are you? Are we still meeting for lunch today?"
ham,"Ok, sounds good. I will meet you at the terminal entrance at 9:00 AM."
ham,"Ok, sounds good. I will meet you at the terminal entrance at 2:30 PM."
ham,"Ok, sounds good. I will meet you at the terminal entrance at 11:45 PM."
ham,"The driver check-in is complete for SHP-63532, loading will begin in 45 minutes."
ham,"Ok, sounds good. I will meet you at the terminal entrance at 2:00 PM."
spam,URGENT! You have won a 1-week free membership in our prize draw! Claim your reward now at http://win-now.com/draw/59137
ham,Please confirm if the shipment package SHP-39314 has been received at the dispatch office.
ham,"Hi Alex, how are you? Are we still meeting for lunch today?"
ham,"Hey Michael, did you finish the spreadsheet for the inventory logs?"
ham,"Hey Michael, did you finish the spreadsheet for the inventory logs?"
ham,Please confirm if the shipment package SHP-48199 has been received at the dispatch office.
ham,"Hey Alex, did you finish the spreadsheet for the inventory logs?"
ham,Are you free this weekend Jessica? Let me know.
ham,"The driver check-in is complete for SHP-40876, loading will begin in 15 minutes."
ham,"Ok, sounds good. I will meet you at the terminal entrance at 10:30 AM."
spam,URGENT! You have won a 1-week free membership in our prize draw! Claim your reward now at http://win-now.com/draw/98294
ham,Please confirm if the shipment package SHP-83214 has been received at the dispatch office.
spam,Important notification from bank: Your debit card ending in 6576 is temporarily blocked. Verify credentials at http://bank-card-unlock.org/verify-99102
ham,"Hi Karen, how are you? Are we still meeting for lunch today?"
ham,"Hey Chris, did you finish the spreadsheet for the inventory logs?"
ham,"Ok, sounds good. I will meet you at the terminal entrance at 4:45 AM."
ham,"The driver check-in is complete for SHP-74144, loading will begin in 10 minutes."
spam,URGENT! You have won a 1-week free membership in our prize draw! Claim your reward now at http://win-now.com/draw/33800
ham,"Hey Emily, did you finish the spreadsheet for the inventory logs?"
ham,"The driver check-in is complete for SHP-64614, loading will begin in 20 minutes."
ham,Are you free this weekend John? Let me know.
ham,Are you free this weekend Karen? Let me know.
ham,Please confirm if the shipment package SHP-45145 has been received at the dispatch office.
ham,"Ok, sounds good. I will meet you at the terminal entrance at 1:45 PM."
ham,"Ok, sounds good. I will meet you at the terminal entrance at 7:00 PM."
ham,"Hey Alex, did you finish the spreadsheet for the inventory logs?"
ham,"Hey Chris, did you finish the spreadsheet for the inventory logs?"
ham,Are you free this weekend John? Let me know.
ham,"Ok, sounds good. I will meet you at the terminal entrance at 10:30 AM."
ham,Are you free this weekend David? Let me know.
spam,"URGENT: Change your bank details to complete payment transaction routing 885412, account 88833428. Confirm deposit."
ham,"Hey Emily, did you finish the spreadsheet for the inventory logs?"
ham,"The driver check-in is complete for SHP-15684, loading will begin in 10 minutes."
ham,Are you free this weekend John? Let me know.
ham,"Hi Karen, how are you? Are we still meeting for lunch today?"
spam,"URGENT: Change your bank details to complete payment transaction routing 563649, account 25737021. Confirm deposit."
ham,"The driver check-in is complete for SHP-90192, loading will begin in 10 minutes."
ham,"The driver check-in is complete for SHP-31126, loading will begin in 10 minutes."
ham,"Hey Karen, did you finish the spreadsheet for the inventory logs?"
ham,"Hey Emily, did you finish the spreadsheet for the inventory logs?"
ham,Are you free this weekend John? Let me know.
ham,"Hi Alex, how are you? Are we still meeting for lunch today?"
spam,Important notification from bank: Your debit card ending in 4588 is temporarily blocked. Verify credentials at http://bank-card-unlock.org/verify-10968
ham,"The driver check-in is complete for SHP-91585, loading will begin in 30 minutes."
ham,"Hey David, did you finish the spreadsheet for the inventory logs?"
ham,"The driver check-in is complete for SHP-88033, loading will begin in 10 minutes."
ham,"The driver check-in is complete for SHP-30520, loading will begin in 15 minutes."
ham,"The driver check-in is complete for SHP-57838, loading will begin in 45 minutes."
ham,Please confirm if the shipment package SHP-47340 has been received at the dispatch office.
ham,"Hi Jessica, how are you? Are we still meeting for lunch today?"
ham,"The driver check-in is complete for SHP-42567, loading will begin in 20 minutes."
ham,"Hey Emily, did you finish the spreadsheet for the inventory logs?"
ham,"Hi Sarah, how are you? Are we still meeting for lunch today?"
ham,"Ok, sounds good. I will meet you at the terminal entrance at 10:30 AM."
spam,Enter verification code OTP 5422 to authenticate payment request of Rs. 5000. Do not share code.
ham,Please confirm if the shipment package SHP-37865 has been received at the dispatch office.
ham,"The driver check-in is complete for SHP-60591, loading will begin in 45 minutes."
ham,"Hi Karen, how are you? Are we still meeting for lunch today?"
ham,"Hi Chris, how are you? Are we still meeting for lunch today?"
ham,"The driver check-in is complete for SHP-26141, loading will begin in 30 minutes."
ham,Please confirm if the shipment package SHP-48550 has been received at the dispatch office.
spam,Enter verification code OTP 9653 to authenticate payment request of Rs. 1500. Do not share code.
ham,Are you free this weekend Sarah? Let me know.
spam,URGENT! You have won a 1-week free membership in our prize draw! Claim your reward now at http://win-now.com/draw/89144
ham,"Hi Karen, how are you? Are we still meeting for lunch today?"
ham,Please confirm if the shipment package SHP-53071 has been received at the dispatch office.
ham,Please confirm if the shipment package SHP-17055 has been received at the dispatch office.
ham,"Hi Sarah, how are you? Are we still meeting for lunch today?"
ham,"Hi Michael, how are you? Are we still meeting for lunch today?"
spam,Congratulations selected winner! Your mobile number won Rs. 150 cash sweepstakes. Claim ticket details here: http://sweepstakes-36883.net
ham,"Hi Karen, how are you? Are we still meeting for lunch today?"
ham,"Hi Chris, how are you? Are we still meeting for lunch today?"
ham,"Hey John, did you finish the spreadsheet for the inventory logs?"
spam,"Hi, you have a package held due to unpaid courier charge. Pay Rs. 150 customs fee immediately: http://held-package.net/pay-40030"
ham,"Hey David, did you finish the spreadsheet for the inventory logs?"
ham,"The driver check-in is complete for SHP-69574, loading will begin in 15 minutes."
ham,Please confirm if the shipment package SHP-30487 has been received at the dispatch office.
ham,"Hey Sarah, did you finish the spreadsheet for the inventory logs?"
ham,"Hi Alex, how are you? Are we still meeting for lunch today?"
ham,Please confirm if the shipment package SHP-95199 has been received at the dispatch office.
ham,"The driver check-in is complete for SHP-63643, loading will begin in 45 minutes."
ham,Are you free this weekend Chris? Let me know.
ham,"Hi Emma, how are you? Are we still meeting for lunch today?"
spam,"URGENT: Change your bank details to complete payment transaction routing 367388, account 92784261. Confirm deposit."
ham,Are you free this weekend Chris? Let me know.
ham,"Hey John, did you finish the spreadsheet for the inventory logs?"
ham,Are you free this weekend Sarah? Let me know.
ham,"Hi Sarah, how are you? Are we still meeting for lunch today?"
ham,"Hi Chris, how are you? Are we still meeting for lunch today?"
spam,URGENT! You have won a 1-week free membership in our prize draw! Claim your reward now at http://win-now.com/draw/15760
ham,Please confirm if the shipment package SHP-98308 has been received at the dispatch office.
ham,Are you free this weekend Alex? Let me know.
spam,Enter verification code OTP 7586 to authenticate payment request of Rs. 950. Do not share code.
ham,"Ok, sounds good. I will meet you at the terminal entrance at 7:30 PM."
ham,"Ok, sounds good. I will meet you at the terminal entrance at 1:00 PM."
ham,"Hi David, how are you? Are we still meeting for lunch today?"
ham,Please confirm if the shipment package SHP-46561 has been received at the dispatch office.
ham,Please confirm if the shipment package SHP-74520 has been received at the dispatch office.
spam,Claim your Rs. 1500 free gift voucher card today. Click link: http://promo-reward.net/claim-19455
ham,"Hi John, how are you? Are we still meeting for lunch today?"
ham,"The driver check-in is complete for SHP-24983, loading will begin in 20 minutes."
ham,"Hey David, did you finish the spreadsheet for the inventory logs?"
ham,Are you free this weekend Karen? Let me know.
ham,"Hi Sarah, how are you? Are we still meeting for lunch today?"
ham,"Hey John, did you finish the spreadsheet for the inventory logs?"
ham,"Hi David, how are you? Are we still meeting for lunch today?"
ham,"Hey Michael, did you finish the spreadsheet for the inventory logs?"
ham,Are you free this weekend John? Let me know.
ham,Are you free this weekend Alex? Let me know.
ham,"Hi Michael, how are you? Are we still meeting for lunch today?"
ham,Are you free this weekend Chris? Let me know.
ham,"The driver check-in is complete for SHP-62037, loading will begin in 45 minutes."
ham,"Hey David, did you finish the spreadsheet for the inventory logs?"
ham,"The driver check-in is complete for SHP-19216, loading will begin in 45 minutes."
spam,Congratulations selected winner! Your mobile number won Rs. 950 cash sweepstakes. Claim ticket details here: http://sweepstakes-40073.net
spam,"Hi, you have a package held due to unpaid courier charge. Pay Rs. 5000 customs fee immediately: http://held-package.net/pay-52642"
ham,Please confirm if the shipment package SHP-32067 has been received at the dispatch office.
spam,Congratulations selected winner! Your mobile number won Rs. 1500 cash sweepstakes. Claim ticket details here: http://sweepstakes-50531.net
ham,"Hey Michael, did you finish the spreadsheet for the inventory logs?"
spam,Important notification from bank: Your debit card ending in 1260 is temporarily blocked. Verify credentials at http://bank-card-unlock.org/verify-67754
spam,"URGENT: Change your bank details to complete payment transaction routing 493117, account 77191418. Confirm deposit."
spam,Congratulations selected winner! Your mobile number won Rs. 5000 cash sweepstakes. Claim ticket details here: http://sweepstakes-80170.net
ham,"Hey Emma, did you finish the spreadsheet for the inventory logs?"
ham,Are you free this weekend Alex? Let me know.
ham,"The driver check-in is complete for SHP-59706, loading will begin in 45 minutes."
ham,Are you free this weekend Karen? Let me know.
ham,"Hi Jessica, how are you? Are we still meeting for lunch today?"
ham,Please confirm if the shipment package SHP-60971 has been received at the dispatch office.
spam,Claim your Rs. 450 free gift voucher card today. Click link: http://promo-reward.net/claim-86618
ham,Please confirm if the shipment package SHP-26067 has been received at the dispatch office.
ham,"Hi Emma, how are you? Are we still meeting for lunch today?"
ham,Are you free this weekend David? Let me know.
ham,"Ok, sounds good. I will meet you at the terminal entrance at 9:00 PM."
ham,"Hi Emily, how are you? Are we still meeting for lunch today?"
ham,"Ok, sounds good. I will meet you at the terminal entrance at 11:45 AM."
ham,"Hey Emma, did you finish the spreadsheet for the inventory logs?"
ham,"Hi Chris, how are you? Are we still meeting for lunch today?"
ham,Are you free this weekend Michael? Let me know.
ham,"Hey Sarah, did you finish the spreadsheet for the inventory logs?"
ham,"Ok, sounds good. I will meet you at the terminal entrance at 10:45 PM."
ham,"Hi David, how are you? Are we still meeting for lunch today?"
ham,"The driver check-in is complete for SHP-49428, loading will begin in 15 minutes."
ham,"Hi Alex, how are you? Are we still meeting for lunch today?"
ham,"The driver check-in is complete for SHP-50834, loading will begin in 10 minutes."
ham,"Hey Alex, did you finish the spreadsheet for the inventory logs?"
ham,"Ok, sounds good. I will meet you at the terminal entrance at 8:15 AM."
spam,Important notification from bank: Your debit card ending in 3616 is temporarily blocked. Verify credentials at http://bank-card-unlock.org/verify-95181
ham,"Hey Jessica, did you finish the spreadsheet for the inventory logs?"
ham,"Hey David, did you finish the spreadsheet for the inventory logs?"
ham,Please confirm if the shipment package SHP-54237 has been received at the dispatch office.
ham,"Hey John, did you finish the spreadsheet for the inventory logs?"
ham,"Hi Emily, how are you? Are we still meeting for lunch today?"
ham,"Ok, sounds good. I will meet you at the terminal entrance at 6:30 PM."
ham,"Hi David, how are you? Are we still meeting for lunch today?"
ham,Please confirm if the shipment package SHP-37666 has been received at the dispatch office.
ham,"Ok, sounds good. I will meet you at the terminal entrance at 6:45 AM."
spam,URGENT! You have won a 1-week free membership in our prize draw! Claim your reward now at http://win-now.com/draw/97962
ham,"Hey Emma, did you finish the spreadsheet for the inventory logs?"
ham,"Ok, sounds good. I will meet you at the terminal entrance at 2:00 AM."
ham,"The driver check-in is complete for SHP-86644, loading will begin in 45 minutes."
ham,"Ok, sounds good. I will meet you at the terminal entrance at 1:00 AM."
spam,"URGENT: Change your bank details to complete payment transaction routing 118748, account 78472598. Confirm deposit."
ham,"The driver check-in is complete for SHP-44860, loading will begin in 15 minutes."
ham,Please confirm if the shipment package SHP-58399 has been received at the dispatch office.
ham,"Hi Jessica, how are you? Are we still meeting for lunch today?"
ham,"Hi Karen, how are you? Are we still meeting for lunch today?"
ham,Please confirm if the shipment package SHP-85350 has been received at the dispatch office.
ham,"Hey Michael, did you finish the spreadsheet for the inventory logs?"
ham,Are you free this weekend John? Let me know.
ham,"Ok, sounds good. I will meet you at the terminal entrance at 9:00 AM."
ham,"The driver check-in is complete for SHP-94862, loading will begin in 45 minutes."
ham,Please confirm if the shipment package SHP-64601 has been received at the dispatch office.
ham,"Hi David, how are you? Are we still meeting for lunch today?"
ham,Please confirm if the shipment package SHP-84276 has been received at the dispatch office.
ham,"Ok, sounds good. I will meet you at the terminal entrance at 4:15 PM."
spam,"URGENT: Change your bank details to complete payment transaction routing 972713, account 89609668. Confirm deposit."
ham,"Hi David, how are you? Are we still meeting for lunch today?"
ham,"The driver check-in is complete for SHP-26107, loading will begin in 10 minutes."
ham,Are you free this weekend Sarah? Let me know.
ham,"Hey Jessica, did you finish the spreadsheet for the inventory logs?"
ham,Please confirm if the shipment package SHP-88060 has been received at the dispatch office.
ham,Are you free this weekend John? Let me know.
ham,"Hi Chris, how are you? Are we still meeting for lunch today?"
ham,Are you free this weekend Michael? Let me know.
ham,"The driver check-in is complete for SHP-40675, loading will begin in 10 minutes."
ham,Please confirm if the shipment package SHP-71393 has been received at the dispatch office.
ham,Please confirm if the shipment package SHP-84269 has been received at the dispatch office.
spam,Enter verification code OTP 2805 to authenticate payment request of Rs. 450. Do not share code.
ham,Please confirm if the shipment package SHP-27574 has been received at the dispatch office.
ham,"The driver check-in is complete for SHP-75665, loading will begin in 45 minutes."
ham,"Hey David, did you finish the spreadsheet for the inventory logs?"
spam,"URGENT: Change your bank details to complete payment transaction routing 317658, account 32712783. Confirm deposit."
ham,"Hi John, how are you? Are we still meeting for lunch today?"
ham,Please confirm if the shipment package SHP-48060 has been received at the dispatch office.
spam,"URGENT: Change your bank details to complete payment transaction routing 511625, account 78548059. Confirm deposit."
ham,"Ok, sounds good. I will meet you at the terminal entrance at 4:30 AM."
ham,Please confirm if the shipment package SHP-24165 has been received at the dispatch office.
ham,"The driver check-in is complete for SHP-23532, loading will begin in 15 minutes."
ham,"The driver check-in is complete for SHP-71195, loading will begin in 30 minutes."
ham,Please confirm if the shipment package SHP-40541 has been received at the dispatch office.
ham,"Hi Chris, how are you? Are we still meeting for lunch today?"
ham,"Ok, sounds good. I will meet you at the terminal entrance at 5:30 PM."
ham,Are you free this weekend Alex? Let me know.
spam,"URGENT: Change your bank details to complete payment transaction routing 177704, account 27186333. Confirm deposit."
ham,Are you free this weekend Karen? Let me know.
ham,"Ok, sounds good. I will meet you at the terminal entrance at 8:15 PM."
ham,"Hi David, how are you? Are we still meeting for lunch today?"
ham,"Ok, sounds good. I will meet you at the terminal entrance at 4:30 AM."
spam,"Hi, you have a package held due to unpaid courier charge. Pay Rs. 950 customs fee immediately: http://held-package.net/pay-69985"
ham,"Hi David, how are you? Are we still meeting for lunch today?"
ham,"The driver check-in is complete for SHP-63399, loading will begin in 10 minutes."
spam,"Hi, you have a package held due to unpaid courier charge. Pay Rs. 1500 customs fee immediately: http://held-package.net/pay-63213"
ham,"The driver check-in is complete for SHP-93659, loading will begin in 10 minutes."
ham,"Hey Karen, did you finish the spreadsheet for the inventory logs?"
ham,"Hey Alex, did you finish the spreadsheet for the inventory logs?"
spam,URGENT! You have won a 1-week free membership in our prize draw! Claim your reward now at http://win-now.com/draw/24172
ham,"Ok, sounds good. I will meet you at the terminal entrance at 10:30 AM."
ham,Are you free this weekend David? Let me know.
spam,"URGENT: Change your bank details to complete payment transaction routing 780187, account 61265173. Confirm deposit."
ham,"The driver check-in is complete for SHP-59064, loading will begin in 45 minutes."
ham,Are you free this weekend David? Let me know.
ham,"Hey Alex, did you finish the spreadsheet for the inventory logs?"
ham,"Hi David, how are you? Are we still meeting for lunch today?"
ham,"Hi Sarah, how are you? Are we still meeting for lunch today?"
ham,"The driver check-in is complete for SHP-89550, loading will begin in 30 minutes."
ham,"Ok, sounds good. I will meet you at the terminal entrance at 11:30 AM."
ham,"Hi Alex, how are you? Are we still meeting for lunch today?"
ham,Please confirm if the shipment package SHP-60360 has been received at the dispatch office.
ham,"Ok, sounds good. I will meet you at the terminal entrance at 5:45 AM."
ham,"Hey Sarah, did you finish the spreadsheet for the inventory logs?"
spam,"Hi, you have a package held due to unpaid courier charge. Pay Rs. 950 customs fee immediately: http://held-package.net/pay-50473"
ham,"The driver check-in is complete for SHP-67516, loading will begin in 45 minutes."
ham,"Hi John, how are you? Are we still meeting for lunch today?"
ham,"Hey Emma, did you finish the spreadsheet for the inventory logs?"
ham,"Hi Chris, how are you? Are we still meeting for lunch today?"
spam,Important notification from bank: Your debit card ending in 5172 is temporarily blocked. Verify credentials at http://bank-card-unlock.org/verify-63418
ham,"Hi Sarah, how are you? Are we still meeting for lunch today?"
spam,"URGENT: Change your bank details to complete payment transaction routing 126748, account 27065444. Confirm deposit."
ham,"Ok, sounds good. I will meet you at the terminal entrance at 12:00 AM."
ham,"Ok, sounds good. I will meet you at the terminal entrance at 6:00 PM."
ham,"Hi Alex, how are you? Are we still meeting for lunch today?"
ham,"Hi John, how are you? Are we still meeting for lunch today?"
ham,"Hi Jessica, how are you? Are we still meeting for lunch today?"
ham,"Hey Chris, did you finish the spreadsheet for the inventory logs?"
ham,"Hey Emma, did you finish the spreadsheet for the inventory logs?"
