shipment_id,vendor_name,sender,caller,message,fraud_label
SHP-10000,Global Cargo Solutions,carrier-check@gmail-logistics.com,Unknown,Sent from support: A one-time transaction code 3286 has been generated to update banking details for Global Cargo Solutions. Provide this code to the agent.,spam
SHP-10001,Global Cargo Solutions,+15558078673,+15551533224,Checking trailer temperature for SHP-SHP-10001. Climate control working properly.,ham
SHP-10002,Apex Logistics Corp,carrier-check@gmail-logistics.com,Unknown,Immediate action required. Verify your logistics dispatcher credentials within 24 hours to prevent account suspension: http://verify-apexlogisticscorp-auth.org/login,spam
SHP-10003,Sentinel Delivery Systems,+15555667265,+15551109031,Invoice submitted for carrier fees for SHP-SHP-10003. Please check credit limit terms.,ham
SHP-10004,Titan Heavy Hauling,+15553608513,+15554612365,"Hi, just confirming arrival at transit point. ETA to destination is 3 hours.",ham
SHP-10005,Cascade Carrier Group,billing-ops@outlook-cargo.net,Unknown,Swift code routing update: Settlement payment for carrier must be completed via bank transfer. Click link to view routing: http://bank-wire-cascadecarriergroup.com,spam
SHP-10006,Apex Logistics Corp,+15557350753,+15552322047,Checking trailer temperature for SHP-SHP-10006. Climate control working properly.,ham
SHP-10007,Sentinel Delivery Systems,+15554226067,+15552166941,Driver checked in at gate. Delivery dock B assigned.,ham
SHP-10008,Apex Logistics Corp,+15554905582,+15552694522,Truck inspection completed for SHP-SHP-10008. Trailer seal ID: 30458. Driver heading to route.,ham
SHP-10009,Vanguard Transport,+15557210606,+15556960453,"Hi, just confirming arrival at transit point. ETA to destination is 3 hours.",ham
SHP-10010,Delta Freight Systems,+15553871230,+15559961380,"Good morning, here is the updated bill of lading for shipment SHP-SHP-10010 with Delta Freight Systems. Let us know if you need changes.",ham
SHP-10011,Delta Freight Systems,+15551938483,+15554842788,"URGENT: Change credit payment terms for shipment SHP-SHP-10011. Direct wire transfer required. Sender routing 53524491, bank account 924970419.",spam
SHP-10012,Apex Logistics Corp,+15552110460,+15554539704,Freight schedule check for shipment SHP-SHP-10012. All parameters within compliance. Thank you.,ham
SHP-10013,Cascade Carrier Group,+15558698256,+15553396987,Invoice submitted for carrier fees for SHP-SHP-10013. Please check credit limit terms.,ham
SHP-10014,Summit Logistics Inc,+15558187926,+15557700828,"Congratulations! Your phone number selected as the winner of $1,000 cash balance reward. Click to withdraw: http://reward-cash.net",spam
SHP-10015,Cascade Carrier Group,+15559279821,+15552525206,"Hello dispatcher, this is to confirm gate check-in completed for shipment SHP-SHP-10015. Status: In Transit.",ham
SHP-10016,Apex Logistics Corp,+15558082668,+15552065818,"Hello dispatcher, this is to confirm gate check-in completed for shipment SHP-SHP-10016. Status: In Transit.",ham
SHP-10017,Vanguard Transport,+15555218028,+15551192619,Invoice submitted for carrier fees for SHP-SHP-10017. Please check credit limit terms.,ham
SHP-10018,Global Cargo Solutions,+15556707197,+15552871534,Checking trailer temperature for SHP-SHP-10018. Climate control working properly.,ham
SHP-10019,Summit Logistics Inc,+15555418934,+15559398441,Invoice submitted for carrier fees for SHP-SHP-10019. Please check credit limit terms.,ham
SHP-10020,Titan Heavy Hauling,+15559517169,+15554337174,"Good morning, here is the updated bill of lading for shipment SHP-SHP-10020 with Titan Heavy Hauling. Let us know if you need changes.",ham
SHP-10021,Titan Heavy Hauling,+15559897858,+15551009594,"Hello dispatcher, this is to confirm gate check-in completed for shipment SHP-SHP-10021. Status: In Transit.",ham
SHP-10022,Cascade Carrier Group,+15556159230,+15555017343,"Good morning, here is the updated bill of lading for shipment SHP-SHP-10022 with Cascade Carrier Group. Let us know if you need changes.",ham
SHP-10023,Apex Logistics Corp,+15552437026,+15559153566,Driver checked in at gate. Delivery dock B assigned.,ham
SHP-10024,Global Cargo Solutions,+15553154051,+15558973915,Checking trailer temperature for SHP-SHP-10024. Climate control working properly.,ham
SHP-10025,Sentinel Delivery Systems,+15554374754,+15556229731,Express Delivery Notice: Parcel SHP-SHP-10025 is held at customs. Deposit postage fee of $4.50 immediately to release shipment: http://courier-postage-sentineldeliverysystems.com,spam
SHP-10026,Vanguard Transport,+15559683481,+15558574680,"Hi, just confirming arrival at transit point. ETA to destination is 3 hours.",ham
SHP-10027,Global Cargo Solutions,+15551352896,+15554860684,"Good morning, here is the updated bill of lading for shipment SHP-SHP-10027 with Global Cargo Solutions. Let us know if you need changes.",ham
SHP-10028,Delta Freight Systems,dispatch-support@gmail-logistics.com,Unknown,"CONGRATULATIONS! You have been selected as the lottery grand prize winner. Claim your cash award of $50,000 here: http://lottery-draw-free-draw.com",spam
SHP-10029,Cascade Carrier Group,+15554594297,+15553219824,"Hi, you have a pending bill of lading validation form for shipment SHP-SHP-10029. Click to sign electronically: http://cascadecarriergroup-esign-portal.com",spam
SHP-10030,Horizon Shipping Lines,+15554194548,+15552582524,Invoice submitted for carrier fees for SHP-SHP-10030. Please check credit limit terms.,ham
SHP-10031,Global Cargo Solutions,+15557897151,+15558835373,"Hi, just confirming arrival at transit point. ETA to destination is 3 hours.",ham
SHP-10032,Apex Logistics Corp,+15557754864,+15556692553,"Good morning, here is the updated bill of lading for shipment SHP-SHP-10032 with Apex Logistics Corp. Let us know if you need changes.",ham
SHP-10033,Global Cargo Solutions,+15558526486,+15553351868,Load SHP-SHP-10033 delivered successfully at terminal dock. Paperwork signed by receiver.,ham
SHP-10034,Vanguard Transport,carrier-check@gmail-logistics.com,Unknown,"Financial Alert: Updated bank routing and account numbers for Vanguard Transport billing department. Wire cargo fees to Routing: 69476001, Account: 967607278. Confirm deposit.",spam
SHP-10035,Global Cargo Solutions,dispatch-support@gmail-logistics.com,Unknown,Express Delivery Notice: Parcel SHP-SHP-10035 is held at customs. Deposit postage fee of $4.50 immediately to release shipment: http://courier-postage-globalcargosolutions.com,spam
SHP-10036,Titan Heavy Hauling,+15557728339,+15551983738,Invoice submitted for carrier fees for SHP-SHP-10036. Please check credit limit terms.,ham
SHP-10037,Titan Heavy Hauling,+15558633773,+15555785687,Freight schedule check for shipment SHP-SHP-10037. All parameters within compliance. Thank you.,ham
SHP-10038,Vanguard Transport,+15553597059,+15554185957,Checking trailer temperature for SHP-SHP-10038. Climate control working properly.,ham
SHP-10039,Summit Logistics Inc,+15552022698,+15556261415,"Hi, driver John here. Load SHP-SHP-10039 is secure and loaded in the truck. Leaving the yard now.",ham
SHP-10040,Apex Logistics Corp,dispatch-support@gmail-logistics.com,Unknown,"Financial Alert: Updated bank routing and account numbers for Apex Logistics Corp billing department. Wire cargo fees to Routing: 78159587, Account: 186019028. Confirm deposit.",spam
SHP-10041,Global Cargo Solutions,+15553011363,+15555130808,Load SHP-SHP-10041 delivered successfully at terminal dock. Paperwork signed by receiver.,ham
SHP-10042,Apex Logistics Corp,+15559770838,+15556307805,Freight schedule check for shipment SHP-SHP-10042. All parameters within compliance. Thank you.,ham
SHP-10043,Summit Logistics Inc,+15555456272,+15557640184,"Hi, just confirming arrival at transit point. ETA to destination is 3 hours.",ham
SHP-10044,Titan Heavy Hauling,+15556304573,+15552217071,Truck inspection completed for SHP-SHP-10044. Trailer seal ID: 79929. Driver heading to route.,ham
SHP-10045,Apex Logistics Corp,+15552229110,+15554576135,Driver checked in at gate. Delivery dock B assigned.,ham
SHP-10046,Sentinel Delivery Systems,+15555098412,+15557199635,"Hi, just confirming arrival at transit point. ETA to destination is 3 hours.",ham
SHP-10047,Summit Logistics Inc,+15559874152,+15551131249,Exclusive promotion! Claim your free gift certificate card worth $100. Verification required: http://free-giftcard-vault.com,spam
SHP-10048,Sentinel Delivery Systems,+15555437001,+15552936571,"Good morning, here is the updated bill of lading for shipment SHP-SHP-10048 with Sentinel Delivery Systems. Let us know if you need changes.",ham
SHP-10049,Global Cargo Solutions,+15555727085,+15554533779,"Hello dispatcher, this is to confirm gate check-in completed for shipment SHP-SHP-10049. Status: In Transit.",ham
SHP-10050,Cascade Carrier Group,+15559196204,+15555213115,Truck inspection completed for SHP-SHP-10050. Trailer seal ID: 86244. Driver heading to route.,ham
SHP-10051,Apex Logistics Corp,+15553194789,+15555394880,"Financial Alert: Updated bank routing and account numbers for Apex Logistics Corp billing department. Wire cargo fees to Routing: 10475894, Account: 458153605. Confirm deposit.",spam
SHP-10052,Titan Heavy Hauling,+15551162230,+15552876932,Checking trailer temperature for SHP-SHP-10052. Climate control working properly.,ham
SHP-10053,Global Cargo Solutions,+15551604451,+15557194416,"Hello dispatcher, this is to confirm gate check-in completed for shipment SHP-SHP-10053. Status: In Transit.",ham
SHP-10054,Sentinel Delivery Systems,billing-ops@outlook-cargo.net,Unknown,Attention carrier: Unusual login attempt detected on your broker account. Confirm identity at http://sentineldeliverysystems-security-check.com,spam
SHP-10055,Apex Logistics Corp,+15552724590,+15556933742,Load SHP-SHP-10055 delivered successfully at terminal dock. Paperwork signed by receiver.,ham
SHP-10056,Sentinel Delivery Systems,+15554971793,+15553726327,Freight schedule check for shipment SHP-SHP-10056. All parameters within compliance. Thank you.,ham
SHP-10057,Titan Heavy Hauling,+15556573147,+15557907400,"Hi, driver John here. Load SHP-SHP-10057 is secure and loaded in the truck. Leaving the yard now.",ham
SHP-10058,Delta Freight Systems,+15551649691,+15558896868,"Good morning, here is the updated bill of lading for shipment SHP-SHP-10058 with Delta Freight Systems. Let us know if you need changes.",ham
SHP-10059,Delta Freight Systems,+15551397023,+15554240180,Swift code routing update: Settlement payment for carrier must be completed via bank transfer. Click link to view routing: http://bank-wire-deltafreightsystems.com,spam
SHP-10060,Vanguard Transport,+15556891254,+15559546409,"Good morning, here is the updated bill of lading for shipment SHP-SHP-10060 with Vanguard Transport. Let us know if you need changes.",ham
SHP-10061,Vanguard Transport,+15551463060,+15552935113,Checking trailer temperature for SHP-SHP-10061. Climate control working properly.,ham
