label,text
ham,Your shipment has arrived at Delhi Hub and will be dispatched for delivery.
spam,Important notice: Your bank verification is pending. Please share OTP code 7912 to authenticate.
spam,"Dear customer, please click here to verify your account details immediately: http://fedex-track.net/login-83563"
ham,Trailer seal ID 54597 is checked and the driver is heading to route. ETA 5 hours.
spam,Security Alert: Update KYC profile details now to avoid terminal check-in suspension.
ham,Trailer seal ID 80284 is checked and the driver is heading to route. ETA 2 hours.
ham,Invoice submitted for carrier fees. Thank you for choosing FedEx.
ham,Your parcel is currently in transit. Use tracking portal for updates.
spam,Alert: Your account has been suspended. Confirm banking details routing 498591 and account 47308985 to recover.
ham,Your parcel is currently in transit. Use tracking portal for updates.
spam,Important notice: Your bank verification is pending. Please share OTP code 3803 to authenticate.
spam,Please reset password using the link below: http://dhl-delivery.net/reset-45382
spam,"Dear customer, please click here to verify your account details immediately: http://fedex-track.net/login-51347"
ham,Your parcel is currently in transit. Use tracking portal for updates.
ham,Trailer seal ID 80644 is checked and the driver is heading to route. ETA 5 hours.
ham,Invoice submitted for carrier fees. Thank you for choosing FedEx.
ham,The package from FedEx Express is secure at the warehouse. Delivery scheduled for tomorrow.
ham,Invoice submitted for carrier fees. Thank you for choosing FedEx.
ham,Trailer seal ID 99353 is checked and the driver is heading to route. ETA 9 hours.
ham,Your parcel is currently in transit. Use tracking portal for updates.
spam,Alert: Your account has been suspended. Confirm banking details routing 211579 and account 93926371 to recover.
spam,Congratulations! You are selected as the lottery winner of Rs. 950 cash. Claim prize details here.
ham,Your parcel is currently in transit. Use tracking portal for updates.
spam,Congratulations! You are selected as the lottery winner of Rs. 450 cash. Claim prize details here.
ham,"Hi Alex, here is the updated bill of lading. Let us know if you need changes."
spam,Please reset password using the link below: http://dhl-delivery.net/reset-37760
ham,Your parcel is currently in transit. Use tracking portal for updates.
spam,Security Alert: Update KYC profile details now to avoid terminal check-in suspension.
spam,"Dear customer, please click here to verify your account details immediately: http://fedex-track.net/login-40007"
ham,Trailer seal ID 27342 is checked and the driver is heading to route. ETA 12 hours.
ham,Freight schedule check: all logs are within logistics compliance limits.
spam,Please reset password using the link below: http://dhl-delivery.net/reset-56438
ham,The package from DHL Logistics is secure at the warehouse. Delivery scheduled for tomorrow.
spam,Urgent: Payment required to release package. Pay customs fees Rs. 950 via bank transfer.
spam,Important notice: Your bank verification is pending. Please share OTP code 2604 to authenticate.
ham,The package from BlueDart Courier is secure at the warehouse. Delivery scheduled for tomorrow.
spam,Please reset password using the link below: http://dhl-delivery.net/reset-17685
spam,Urgent: Payment required to release package. Pay customs fees Rs. 10000 via bank transfer.
spam,Alert: Your account has been suspended. Confirm banking details routing 871476 and account 82772208 to recover.
spam,Security Alert: Update KYC profile details now to avoid terminal check-in suspension.
ham,"Hi John, here is the updated bill of lading. Let us know if you need changes."
ham,"Hello dispatcher, this is to confirm gate check-in completed for shipment SHP-42271."
ham,The package from Delhivery Ops is secure at the warehouse. Delivery scheduled for tomorrow.
ham,Trailer seal ID 41285 is checked and the driver is heading to route. ETA 5 hours.
ham,Trailer seal ID 11220 is checked and the driver is heading to route. ETA 8 hours.
ham,The package from FedEx Express is secure at the warehouse. Delivery scheduled for tomorrow.
spam,Security Alert: Update KYC profile details now to avoid terminal check-in suspension.
ham,Trailer seal ID 11025 is checked and the driver is heading to route. ETA 11 hours.
ham,Trailer seal ID 25129 is checked and the driver is heading to route. ETA 2 hours.
ham,"Hi David, here is the updated bill of lading. Let us know if you need changes."
ham,Trailer seal ID 16658 is checked and the driver is heading to route. ETA 2 hours.
ham,Trailer seal ID 27146 is checked and the driver is heading to route. ETA 11 hours.
ham,"Hi Emma, here is the updated bill of lading. Let us know if you need changes."
spam,URGENT: Outstanding customs fee payment of Rs. 1500 is required to release package waybill #81511.
spam,URGENT: Outstanding customs fee payment of Rs. 1500 is required to release package waybill #15482.
ham,"Hello dispatcher, this is to confirm gate check-in completed for shipment SHP-56357."
ham,Invoice submitted for carrier fees. Thank you for choosing FedEx.
ham,"Hi Michael, here is the updated bill of lading. Let us know if you need changes."
ham,"Hello dispatcher, this is to confirm gate check-in completed for shipment SHP-60140."
ham,"Hello dispatcher, this is to confirm gate check-in completed for shipment SHP-50001."
spam,Congratulations! You are selected as the lottery winner of Rs. 1500 cash. Claim prize details here.
ham,Invoice submitted for carrier fees. Thank you for choosing FedEx.
spam,Alert: Your account has been suspended. Confirm banking details routing 555673 and account 56397338 to recover.
ham,Your parcel is currently in transit. Use tracking portal for updates.
ham,"Hello dispatcher, this is to confirm gate check-in completed for shipment SHP-10221."
ham,"Hello dispatcher, this is to confirm gate check-in completed for shipment SHP-97062."
ham,The package from DHL Logistics is secure at the warehouse. Delivery scheduled for tomorrow.
ham,Trailer seal ID 65108 is checked and the driver is heading to route. ETA 11 hours.
ham,"Hi Lisa, here is the updated bill of lading. Let us know if you need changes."
ham,Trailer seal ID 86019 is checked and the driver is heading to route. ETA 10 hours.
ham,Freight schedule check: all logs are within logistics compliance limits.
ham,"Hi Sarah, here is the updated bill of lading. Let us know if you need changes."
ham,The package from DHL Logistics is secure at the warehouse. Delivery scheduled for tomorrow.
spam,"Dear customer, please click here to verify your account details immediately: http://fedex-track.net/login-42092"
ham,"Hello dispatcher, this is to confirm gate check-in completed for shipment SHP-41979."
ham,Your shipment has arrived at Bangalore Hub and will be dispatched for delivery.
ham,Your shipment has arrived at Delhi Hub and will be dispatched for delivery.
ham,Your parcel is currently in transit. Use tracking portal for updates.
ham,"Hi Emma, here is the updated bill of lading. Let us know if you need changes."
spam,Urgent: Payment required to release package. Pay customs fees Rs. 1500 via bank transfer.
ham,"Hello dispatcher, this is to confirm gate check-in completed for shipment SHP-80798."
spam,Congratulations! You are selected as the lottery winner of Rs. 950 cash. Claim prize details here.
ham,Freight schedule check: all logs are within logistics compliance limits.
ham,Your shipment has arrived at Bangalore Hub and will be dispatched for delivery.
spam,Please reset password using the link below: http://dhl-delivery.net/reset-64921
ham,Freight schedule check: all logs are within logistics compliance limits.
ham,Invoice submitted for carrier fees. Thank you for choosing FedEx.
spam,Please reset password using the link below: http://dhl-delivery.net/reset-87580
spam,Urgent: Payment required to release package. Pay customs fees Rs. 1500 via bank transfer.
spam,Security Alert: Update KYC profile details now to avoid terminal check-in suspension.
spam,Important notice: Your bank verification is pending. Please share OTP code 1317 to authenticate.
spam,Important notice: Your bank verification is pending. Please share OTP code 1659 to authenticate.
ham,"Hi Emily, here is the updated bill of lading. Let us know if you need changes."
ham,"Hello dispatcher, this is to confirm gate check-in completed for shipment SHP-58351."
ham,The package from Apex Carrier is secure at the warehouse. Delivery scheduled for tomorrow.
ham,Invoice submitted for carrier fees. Thank you for choosing FedEx.
ham,"Hello dispatcher, this is to confirm gate check-in completed for shipment SHP-99687."
ham,Your shipment has arrived at Chennai Hub and will be dispatched for delivery.
spam,Security Alert: Update KYC profile details now to avoid terminal check-in suspension.
ham,Freight schedule check: all logs are within logistics compliance limits.
spam,Urgent: Payment required to release package. Pay customs fees Rs. 10000 via bank transfer.
ham,The package from FedEx Express is secure at the warehouse. Delivery scheduled for tomorrow.
ham,Invoice submitted for carrier fees. Thank you for choosing FedEx.
ham,Your parcel is currently in transit. Use tracking portal for updates.
ham,Your shipment has arrived at Delhi Hub and will be dispatched for delivery.
ham,"Hello dispatcher, this is to confirm gate check-in completed for shipment SHP-68743."
spam,Congratulations! You are selected as the lottery winner of Rs. 1500 cash. Claim prize details here.
ham,Your parcel is currently in transit. Use tracking portal for updates.
ham,Trailer seal ID 25814 is checked and the driver is heading to route. ETA 12 hours.
spam,Important notice: Your bank verification is pending. Please share OTP code 4033 to authenticate.
spam,Alert: Your account has been suspended. Confirm banking details routing 338533 and account 58436637 to recover.
spam,"Dear customer, please click here to verify your account details immediately: http://fedex-track.net/login-80010"
ham,"Hi Emma, here is the updated bill of lading. Let us know if you need changes."
ham,Freight schedule check: all logs are within logistics compliance limits.
spam,Important notice: Your bank verification is pending. Please share OTP code 9056 to authenticate.
ham,"Hi Alex, here is the updated bill of lading. Let us know if you need changes."
spam,Please reset password using the link below: http://dhl-delivery.net/reset-89471
ham,Trailer seal ID 84531 is checked and the driver is heading to route. ETA 10 hours.
spam,Important notice: Your bank verification is pending. Please share OTP code 4457 to authenticate.
spam,URGENT: Outstanding customs fee payment of Rs. 950 is required to release package waybill #82350.
ham,Freight schedule check: all logs are within logistics compliance limits.
spam,Urgent: Payment required to release package. Pay customs fees Rs. 1500 via bank transfer.
ham,"Hello dispatcher, this is to confirm gate check-in completed for shipment SHP-39466."
spam,Alert: Your account has been suspended. Confirm banking details routing 273982 and account 51286958 to recover.
ham,Trailer seal ID 49857 is checked and the driver is heading to route. ETA 12 hours.
ham,Trailer seal ID 67377 is checked and the driver is heading to route. ETA 2 hours.
ham,Invoice submitted for carrier fees. Thank you for choosing FedEx.
spam,"Dear customer, please click here to verify your account details immediately: http://fedex-track.net/login-98117"
ham,Freight schedule check: all logs are within logistics compliance limits.
ham,The package from BlueDart Courier is secure at the warehouse. Delivery scheduled for tomorrow.
